entity,time,equation,original_index,error_terms
22,4,diff,312,"{4: 1.0, 3: -1.0}"
22,5,diff,313,"{5: 1.0, 4: -1.0}"
22,6,diff,314,"{6: 1.0, 5: -1.0}"
22,7,diff,315,"{7: 1.0, 6: -1.0}"
22,8,diff,316,"{8: 1.0, 7: -1.0}"
22,9,diff,317,"{9: 1.0, 8: -1.0}"
22,10,diff,318,"{10: 1.0, 9: -1.0}"
22,11,diff,319,"{11: 1.0, 10: -1.0}"
22,12,diff,320,"{12: 1.0, 11: -1.0}"
22,13,diff,321,"{13: 1.0, 12: -1.0}"
22,1,level,309,{1: 1.0}
22,2,level,310,{2: 1.0}
22,3,level,311,{3: 1.0}
22,4,level,312,{4: 1.0}
22,5,level,313,{5: 1.0}
22,6,level,314,{6: 1.0}
22,7,level,315,{7: 1.0}
22,8,level,316,{8: 1.0}
22,9,level,317,{9: 1.0}
22,10,level,318,{10: 1.0}
22,11,level,319,{11: 1.0}
22,12,level,320,{12: 1.0}
22,13,level,321,{13: 1.0}
23,2,diff,324,"{2: 1.0, 1: -1.0}"
23,3,diff,325,"{3: 1.0, 2: -1.0}"
23,4,diff,326,"{4: 1.0, 3: -1.0}"
23,5,diff,327,"{5: 1.0, 4: -1.0}"
23,6,diff,328,"{6: 1.0, 5: -1.0}"
23,7,diff,329,"{7: 1.0, 6: -1.0}"
23,8,diff,330,"{8: 1.0, 7: -1.0}"
23,9,diff,331,"{9: 1.0, 8: -1.0}"
23,10,diff,332,"{10: 1.0, 9: -1.0}"
23,11,diff,333,"{11: 1.0, 10: -1.0}"
23,12,diff,334,"{12: 1.0, 11: -1.0}"
23,13,diff,335,"{13: 1.0, 12: -1.0}"
23,1,level,323,{1: 1.0}
23,2,level,324,{2: 1.0}
23,3,level,325,{3: 1.0}
23,4,level,326,{4: 1.0}
23,5,level,327,{5: 1.0}
23,6,level,328,{6: 1.0}
23,7,level,329,{7: 1.0}
23,8,level,330,{8: 1.0}
23,9,level,331,{9: 1.0}
23,10,level,332,{10: 1.0}
23,11,level,333,{11: 1.0}
23,12,level,334,{12: 1.0}
23,13,level,335,{13: 1.0}
24,2,diff,338,"{2: 1.0, 1: -1.0}"
24,3,diff,339,"{3: 1.0, 2: -1.0}"
24,4,diff,340,"{4: 1.0, 3: -1.0}"
24,5,diff,341,"{5: 1.0, 4: -1.0}"
24,6,diff,342,"{6: 1.0, 5: -1.0}"
24,7,diff,343,"{7: 1.0, 6: -1.0}"
24,8,diff,344,"{8: 1.0, 7: -1.0}"
24,9,diff,345,"{9: 1.0, 8: -1.0}"
24,10,diff,346,"{10: 1.0, 9: -1.0}"
24,11,diff,347,"{11: 1.0, 10: -1.0}"
24,12,diff,348,"{12: 1.0, 11: -1.0}"
24,13,diff,349,"{13: 1.0, 12: -1.0}"
24,1,level,337,{1: 1.0}
24,2,level,338,{2: 1.0}
24,3,level,339,{3: 1.0}
24,4,level,340,{4: 1.0}
24,5,level,341,{5: 1.0}
24,6,level,342,{6: 1.0}
24,7,level,343,{7: 1.0}
24,8,level,344,{8: 1.0}
24,9,level,345,{9: 1.0}
24,10,level,346,{10: 1.0}
24,11,level,347,{11: 1.0}
24,12,level,348,{12: 1.0}
